Val,HAgE,nu,HAgB_nu,key_nu,eta,HAgB_eta,key_eta
1.000000000000000000e+00,9.971843711625577589e-01,9.999999999999996669e-01,0.000000000000000000e+00,9.971843711625577589e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.971843711625577589e-01
9.949999999999999956e-01,9.103748295457981810e-01,9.967820159208862218e-01,2.502008805243426115e-02,8.853547414933639059e-01,9.949775780244438650e-01,4.102083738010967734e-02,8.693539921656885383e-01
9.899999999999999911e-01,8.324731823184170487e-01,9.935566009315873748e-01,4.503186684795865147e-02,7.874413154704583695e-01,9.899094948496088842e-01,7.210673332587538842e-02,7.603664489925416881e-01
9.849999999999999867e-01,7.591621774970543912e-01,9.903237033151665036e-01,6.314810538007673002e-02,6.960140721169776334e-01,9.847944819747421752e-01,9.948327402525676544e-02,6.596789034717975841e-01
9.799999999999999822e-01,6.890369800395123034e-01,9.870832707519758831e-01,8.003044768412762022e-02,6.090065323553847110e-01,9.796312110550504659e-01,1.244738130748494070e-01,5.645631669646629103e-01
9.749999999999999778e-01,6.215536406225461441e-01,9.838352503098044544e-01,9.599312409793855916e-02,5.255605165246075572e-01,9.744182898728631637e-01,1.477068942939556984e-01,4.738467463285904735e-01
9.699999999999999734e-01,5.564966908369212151e-01,9.805795884337848989e-01,1.112212072366085269e-01,4.452754836003126604e-01,9.691542579534183632e-01,1.695527640000427938e-01,3.869439268368783935e-01
9.649999999999999689e-01,4.938811799221827781e-01,9.773162309360907685e-01,1.258369827736688373e-01,3.680441971485139407e-01,9.638375817856824623e-01,1.902561129347386248e-01,3.036250669874441810e-01
9.599999999999999645e-01,4.336990764479824456e-01,9.740451229854133475e-01,1.399273606303393924e-01,2.937717158176430532e-01,9.584666496043676709e-01,2.099908990438302536e-01,2.237081774041521920e-01
9.549999999999999600e-01,3.760247593043810621e-01,9.707662090962122514e-01,1.535573202617920019e-01,2.224674390425890602e-01,9.530397656825320141e-01,2.288872384929904746e-01,1.471375208113905875e-01
9.499999999999999556e-01,3.209308155383974737e-01,9.674794331177350992e-01,1.667772959404091038e-01,1.541535195979883699e-01,9.475551440775791256e-01,2.470461767216107773e-01,7.388463881678669631e-02
9.449999999999999512e-01,2.684962895414004236e-01,9.641847382227984875e-01,1.796275756115533195e-01,8.886871392984710405e-02,9.420109017652641414e-01,2.645484866889827869e-01,3.947802852417636732e-03
9.399999999999999467e-01,2.188383560249130000e-01,9.608820668963241607e-01,1.921410861743897414e-01,2.669726985052325863e-02,9.364050510868777710e-01,2.814602400214400446e-01,0.000000000000000000e+00
9.350000000000000533e-01,1.721195154329533683e-01,9.575713609236246038e-01,2.043452436859531929e-01,0.000000000000000000e+00,9.307354914237219168e-01,2.978365080607749960e-01,0.000000000000000000e+00
9.300000000000000488e-01,1.285021192866658002e-01,9.542525613784312855e-01,2.162632308686810167e-01,0.000000000000000000e+00,9.250000000000012657e-01,3.137239175787251422e-01,0.000000000000000000e+00
9.250000000000000444e-01,8.829071256450089777e-02,9.509256086106570027e-01,2.279149077664206768e-01,0.000000000000000000e+00,9.191962216999458590e-01,3.291624728524222832e-01,0.000000000000000000e+00
9.200000000000000400e-01,5.185837912721213278e-02,9.475904422338883304e-01,2.393174785022870454e-01,0.000000000000000000e+00,9.133216577668661351e-01,3.441868900129885778e-01,0.000000000000000000e+00
9.150000000000000355e-01,2.003553470500425357e-02,9.442470011125184692e-01,2.504859907176994471e-01,0.000000000000000000e+00,9.073736532303354752e-01,3.588275968314443842e-01,0.000000000000000000e+00
9.100000000000000311e-01,8.092837687027435263e-09,9.408952233489382699e-01,2.614337171062453002e-01,0.000000000000000000e+00,9.013493828819868492e-01,3.731114967789475045e-01,0.000000000000000000e+00
9.050000000000000266e-01,0.000000000000000000e+00,9.375350462698162080e-01,2.721724519161091704e-01,0.000000000000000000e+00,8.952458355900139164e-01,3.870625631093477237e-01,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,9.341664064126331546e-01,2.827127448668333987e-01,0.000000000000000000e+00,8.890597967047111361e-01,4.007023078732083188e-01,0.000000000000000000e+00
8.950000000000000178e-01,0.000000000000000000e+00,9.307892395116513784e-01,2.930640881743914461e-01,0.000000000000000000e+00,8.827878282639218810e-01,4.140501572537367281e-01,0.000000000000000000e+00
8.900000000000000133e-01,0.000000000000000000e+00,9.274034804836090995e-01,3.032350678775522224e-01,0.000000000000000000e+00,8.764262466519859851e-01,4.271237556241748168e-01,0.000000000000000000e+00
8.850000000000000089e-01,0.000000000000000000e+00,9.240090634130866398e-01,3.132334875981062638e-01,0.000000000000000000e+00,8.699710973001548719e-01,4.399392146029937889e-01,0.000000000000000000e+00
