wexp,HAgE,nu,HAgB_nu,key_nu,eta,HAgB_eta,key_eta
7.615773105863908876e-01,9.971829850557664132e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.971829850557664132e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.971829850557664132e-01
7.603206307785053131e-01,9.519168647454265830e-01,9.983498985717972340e-01,9.640989289207313462e-03,9.422758754562192696e-01,9.991742950602516826e-01,9.640706581134361741e-03,9.422761581642922213e-01
7.590639509706198496e-01,9.143863261536938625e-01,9.966997971435943571e-01,1.763089428414832405e-02,8.967554318695455384e-01,9.983472775075077355e-01,1.762987058013654185e-02,8.967564555735573206e-01
7.578072711627342750e-01,8.806225577029272999e-01,9.950496957153914801e-01,2.499699512804398616e-02,8.556255625748833138e-01,9.975189410619088592e-01,2.499483030677218665e-02,8.556277273961551133e-01
7.565505913548488115e-01,8.492982272658372578e-01,9.933995942871884921e-01,3.195765099727254643e-02,8.173405762685647113e-01,9.966892793934430950e-01,3.195397414473988285e-02,8.173442531210973749e-01
7.552939115469632370e-01,8.197684275460817016e-01,9.917494928589856151e-01,3.861656749223363327e-02,7.811518600538480683e-01,9.958582861214215765e-01,3.861102698515606058e-02,7.811574005609256410e-01
7.540372317390776624e-01,7.916517020147263439e-01,9.900993914307825161e-01,4.503482553614301942e-02,7.466168764785833245e-01,9.950259548139525068e-01,4.502708379721753751e-02,7.466246182175088064e-01
7.527805519311921989e-01,7.646976509882684736e-01,9.884492900025797502e-01,5.125278507883468393e-02,7.134448659094337897e-01,9.941922789874050315e-01,5.124251530673162858e-02,7.134551356815368450e-01
7.515238721233066244e-01,7.387304758955800521e-01,9.867991885743766511e-01,5.729913134492337079e-02,6.814313445506566813e-01,9.933572521058676719e-01,5.728601527304488794e-02,6.814444606225351642e-01
7.502671923154211608e-01,7.136147952764139157e-01,9.851490871461738852e-01,6.319531205064787827e-02,6.504194832257660375e-01,9.925208675806008740e-01,6.317903831158289130e-02,6.504357569648310244e-01
7.490105125075355863e-01,6.892533794169017902e-01,9.834989857179711192e-01,6.895797469680520209e-02,6.202954047200965881e-01,9.916831187349237631e-01,6.893823780862406991e-02,6.203151416082777203e-01
7.477538326996500118e-01,6.655625742298834080e-01,9.818488842897681312e-01,7.460041828001084951e-02,5.909621559498725585e-01,9.908439989204194109e-01,7.457691709325464657e-02,5.909856571366287614e-01
7.464971528917645482e-01,6.424773247066078996e-01,9.801987828615652543e-01,8.013351249149014421e-02,5.623438122151177554e-01,9.900035013637665804e-01,8.010594987575769821e-02,5.623713748308502014e-01
7.452404730838789737e-01,6.199430683166674561e-01,9.785486814333623773e-01,8.556630832157186006e-02,5.343767599950955960e-01,9.891616192562959764e-01,8.553439036347043611e-02,5.344086779531970199e-01
7.439837932759935102e-01,5.979140644686192774e-01,9.768985800051595003e-01,9.090645966269539358e-02,5.070076048059238838e-01,9.883183457330736443e-01,9.086989510827003791e-02,5.070441693603492395e-01
7.427271134681079356e-01,5.763515122734146345e-01,9.752484785769565123e-01,9.616052384396578390e-02,4.801909884294488506e-01,9.874736738722470486e-01,9.611902362119040255e-02,4.802324886522242320e-01
7.414704336602224721e-01,5.552209370599893168e-01,9.735983771487538574e-01,1.013341816743675849e-01,4.538867553856217318e-01,9.866275966943827136e-01,1.012874584788269194e-01,4.539334785811623973e-01
7.402137538523368976e-01,5.344935786029192393e-01,9.719482757205507584e-01,1.064324022672853420e-01,4.280611763356338972e-01,9.857801071617929844e-01,1.063801701985811476e-01,4.281134084043380916e-01
7.389570740444513230e-01,5.141427223708726624e-01,9.702981742923477704e-01,1.114595689542825507e-01,4.026831534165901116e-01,9.849311981778540170e-01,1.114015431937567246e-01,4.027411791771159377e-01
7.377003942365658595e-01,4.941456506561230921e-01,9.686480728641447824e-01,1.164195771361118403e-01,3.777260735200112518e-01,9.840808625863113335e-01,1.163554736586379645e-01,3.777901769974851276e-01
7.364437144286802850e-01,4.744841232366857620e-01,9.669979714359419054e-01,1.213159114797859317e-01,3.531682117568998303e-01,9.832290931705761627e-01,1.212454467939696467e-01,3.532386764427161152e-01
7.351870346207948215e-01,4.551373617623073464e-01,9.653478700077392505e-01,1.261517076401539317e-01,3.289856541221534147e-01,9.823758826530115673e-01,1.260745985524416302e-01,3.290627632098657163e-01
7.339303548129092469e-01,4.360896400205527823e-01,9.636977685795363735e-01,1.309298022002249873e-01,3.051598378203277950e-01,9.815212236942065793e-01,1.308457655993167101e-01,3.052438744212360722e-01
7.326736750050236724e-01,4.173260044933445601e-01,9.620476671513332745e-01,1.356527735140968804e-01,2.816732309792476796e-01,9.806651088922395676e-01,1.355615261727372012e-01,2.817644783206073589e-01
7.314169951971382089e-01,3.988336297045026457e-01,9.603975657231303975e-01,1.403229754344275104e-01,2.585106542700751353e-01,9.798075307819301694e-01,1.402242338261598942e-01,2.586093958783427516e-01
7.301603153892526343e-01,3.805994191035660945e-01,9.587474642949274095e-01,1.449425654097349359e-01,2.356568536938311587e-01,9.789484818340804528e-01,1.448360455386203949e-01,2.357633735649456996e-01
7.289036355813671708e-01,3.626117086611249096e-01,9.570973628667247546e-01,1.495135280795683030e-01,2.130981805815566066e-01,9.780879544547029791e-01,1.493989453212174467e-01,2.132127633399074629e-01
7.276469557734815963e-01,3.448604431119588476e-01,9.554472614385218776e-01,1.540376952347879413e-01,1.908227478771709062e-01,9.772259409842383171e-01,1.539147641872802286e-01,1.909456789246786190e-01
7.263902759655960217e-01,3.273361048857285072e-01,9.537971600103187786e-01,1.585167628170864873e-01,1.688193420686420199e-01,9.763624336967590134e-01,1.583851971606082820e-01,1.689509077251202251e-01
7.251335961577105582e-01,3.100295935680352222e-01,9.521470585821157906e-01,1.629523054872203947e-01,1.470772880808148275e-01,9.754974247991617942e-01,1.628118178513920933e-01,1.472177757166431289e-01
7.238769163498249837e-01,2.929324391150675000e-01,9.504969571539129136e-01,1.673457891816831911e-01,1.255866499333843089e-01,9.746309064303478875e-01,1.671960910196961247e-01,1.257363480953713752e-01
7.226202365419395202e-01,2.760366575160260183e-01,9.488468557257101477e-01,1.716985819934833124e-01,1.043380755225427059e-01,9.737628706603885798e-01,1.715393834623075708e-01,1.044972740537184475e-01
7.213635567340539456e-01,2.593361716849051368e-01,9.471967542975072707e-01,1.760119636476462635e-01,8.332420803725887337e-02,9.728933094896788925e-01,1.758429734936410860e-01,8.349319819126405084e-02
7.201068769261684821e-01,2.428236617892793048e-01,9.455466528693043937e-01,1.802871337912477223e-01,6.253652799803158246e-02,9.720222148480774926e-01,1.801080592406041347e-01,6.271560254867517004e-02
7.188501971182829076e-01,2.264932201726551908e-01,9.438965514411012947e-01,1.845252192777693256e-01,4.196800089488586516e-02,9.711495785940333914e-01,1.843357659312849783e-01,4.215745424137021247e-02
7.175935173103973330e-01,2.103383852086389560e-01,9.422464500128984177e-01,1.887272805938147169e-01,2.161110461482423917e-02,9.702753925136974322e-01,1.885271523255571680e-01,2.181123288308178809e-02
7.163368375025118695e-01,1.943534591943345824e-01,9.405963485846956518e-01,1.928943175508128771e-01,1.459141643521705278e-03,9.693996483200215675e-01,1.926832164102747491e-01,1.670242784059833285e-03
7.150801576946262950e-01,1.785328815446274031e-01,9.389462471564927748e-01,1.970272743438779006e-01,0.000000000000000000e+00,9.685223376518403704e-01,1.968049004612869579e-01,0.000000000000000000e+00
7.138234778867407204e-01,1.628729345078157587e-01,9.372961457282897868e-01,2.011270440634072010e-01,0.000000000000000000e+00,9.676434520729422228e-01,2.008930955578660527e-01,0.000000000000000000e+00
7.125667980788552569e-01,1.473685557007315405e-01,9.356460443000870209e-01,2.051944727314884975e-01,0.000000000000000000e+00,9.667629830711212957e-01,2.049486456216809138e-01,0.000000000000000000e+00
7.113101182709696824e-01,1.320146751018372033e-01,9.339959428718841439e-01,2.092303629240785945e-01,0.000000000000000000e+00,9.658809220572163179e-01,2.089723510412795360e-01,0.000000000000000000e+00
7.100534384630842188e-01,1.168077246324627089e-01,9.323458414436811559e-01,2.132354770307571812e-01,0.000000000000000000e+00,9.649972603641332469e-01,2.129649719339337111e-01,0.000000000000000000e+00
7.087967586551986443e-01,1.017441052004440794e-01,9.306957400154780569e-01,2.172105401962975968e-01,0.000000000000000000e+00,9.641119892458519525e-01,2.169272310890850708e-01,0.000000000000000000e+00
7.075400788473131808e-01,8.681915236188253449e-02,9.290456385872752909e-01,2.211562429819413644e-01,0.000000000000000000e+00,9.632250998764161354e-01,2.208598166313231470e-01,0.000000000000000000e+00
7.062833990394276062e-01,7.202947735021639208e-02,9.273955371590724139e-01,2.250732437790015084e-01,0.000000000000000000e+00,9.623365833489071486e-01,2.247633844355128030e-01,0.000000000000000000e+00
7.050267192315420317e-01,5.737204783991874807e-02,9.257454357308693149e-01,2.289621710029430268e-01,0.000000000000000000e+00,9.614464306744006095e-01,2.286385603222523821e-01,0.000000000000000000e+00
7.037700394236565682e-01,4.284359818330926023e-02,9.240953343026665490e-01,2.328236250923483297e-01,0.000000000000000000e+00,9.605546327809056928e-01,2.324859420580773772e-01,0.000000000000000000e+00
7.025133596157709936e-01,2.844051506148643355e-02,9.224452328744635610e-01,2.366581803339959933e-01,0.000000000000000000e+00,9.596611805122864380e-01,2.363061011816427470e-01,0.000000000000000000e+00
7.012566798078855301e-01,1.416070422299578468e-02,9.207951314462607950e-01,2.404663865325402661e-01,0.000000000000000000e+00,9.587660646271657372e-01,2.400995846743941842e-01,0.000000000000000000e+00
6.999999999999999556e-01,4.274751840421808780e-07,9.191450300180579180e-01,2.442487705410076870e-01,0.000000000000000000e+00,9.578692757978100047e-01,2.438669164919439192e-01,0.000000000000000000e+00
