Val,HAgE,nu,HAgB_nu,key_nu,eta,HAgB_eta,key_eta
1.000000000000000000e+00,9.971843711625577589e-01,9.999999999999996669e-01,0.000000000000000000e+00,9.971843711625577589e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.971843711625577589e-01
9.949999999999999956e-01,9.103748295457981810e-01,9.967820159208862218e-01,2.502008805243426115e-02,8.853547414933639059e-01,9.974944196150530296e-01,2.493396006155295525e-02,8.854408694842452743e-01
9.899999999999999911e-01,8.324731823184170487e-01,9.935566009315873748e-01,4.503186684795865147e-02,7.874413154704583695e-01,9.949775780244439760e-01,4.485857728473480882e-02,7.876146050336821913e-01
9.849999999999999867e-01,7.591621774970543912e-01,9.903237033151665036e-01,6.314810538007673002e-02,6.960140721169776334e-01,9.924493220105777835e-01,6.288653823353812511e-02,6.962756392635163216e-01
9.799999999999999822e-01,6.890369800395123034e-01,9.870832707519758831e-01,8.003044768412762022e-02,6.090065323553847110e-01,9.899094948496088842e-01,7.967940294180718419e-02,6.093575770977051054e-01
9.749999999999999778e-01,6.215536406225461441e-01,9.838352503098044544e-01,9.599312409793855916e-02,5.255605165246075572e-01,9.873579361980695523e-01,9.555131612336614788e-02,5.260023244991800517e-01
9.699999999999999734e-01,5.564966908369212151e-01,9.805795884337848989e-01,1.112212072366085269e-01,4.452754836003126604e-01,9.847944819747422862e-01,1.106872630939524094e-01,4.458094277429688335e-01
9.649999999999999689e-01,4.938811799221827781e-01,9.773162309360907685e-01,1.258369827736688373e-01,3.680441971485139407e-01,9.822189642375279695e-01,1.252094404973340958e-01,3.686717394248486546e-01
9.599999999999999645e-01,4.336990764479824456e-01,9.740451229854133475e-01,1.399273606303393924e-01,2.937717158176430532e-01,9.796312110550504659e-01,1.392046674371686665e-01,2.944944090108138068e-01
9.549999999999999600e-01,3.760247593043810621e-01,9.707662090962122514e-01,1.535573202617920019e-01,2.224674390425890602e-01,9.770310463727193140e-01,1.527378307033900873e-01,2.232869286009909748e-01
9.499999999999999556e-01,3.209308155383974737e-01,9.674794331177350992e-01,1.667772959404091038e-01,1.541535195979883699e-01,9.744182898728631637e-01,1.658592699934310633e-01,1.550715455449664104e-01
9.449999999999999512e-01,2.684962895414004236e-01,9.641847382227984875e-01,1.796275756115533195e-01,8.886871392984710405e-02,9.717927568290627427e-01,1.786091767014319209e-01,8.988711283996850265e-02
9.399999999999999467e-01,2.188383560249130000e-01,9.608820668963241607e-01,1.921410861743897414e-01,2.669726985052325863e-02,9.691542579534183632e-01,1.910203791325104927e-01,2.781797689240250726e-02
9.350000000000000533e-01,1.721195154329533683e-01,9.575713609236246038e-01,2.043452436859531929e-01,0.000000000000000000e+00,9.665025992374707275e-01,2.031201926346865305e-01,0.000000000000000000e+00
9.300000000000000488e-01,1.285021192866658002e-01,9.542525613784312855e-01,2.162632308686810167e-01,0.000000000000000000e+00,9.638375817856825734e-01,2.149316970321171749e-01,0.000000000000000000e+00
9.250000000000000444e-01,8.829071256450089777e-02,9.509256086106570027e-01,2.279149077664206768e-01,0.000000000000000000e+00,9.611590016413352755e-01,2.264746472031536895e-01,0.000000000000000000e+00
9.200000000000000400e-01,5.185837912721213278e-02,9.475904422338883304e-01,2.393174785022870454e-01,0.000000000000000000e+00,9.584666496043676709e-01,2.377661397566098733e-01,0.000000000000000000e+00
9.150000000000000355e-01,2.003553470500425357e-02,9.442470011125184692e-01,2.504859907176994471e-01,0.000000000000000000e+00,9.557603110406970304e-01,2.488211123850755657e-01,0.000000000000000000e+00
9.100000000000000311e-01,8.092837687027435263e-09,9.408952233489382699e-01,2.614337171062453002e-01,0.000000000000000000e+00,9.530397656825320141e-01,2.596527253101071908e-01,0.000000000000000000e+00
9.050000000000000266e-01,0.000000000000000000e+00,9.375350462698162080e-01,2.721724519161091704e-01,0.000000000000000000e+00,9.503047874191503652e-01,2.702726576895772004e-01,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,9.341664064126331546e-01,2.827127448668333987e-01,0.000000000000000000e+00,9.475551440775791256e-01,2.806913414366147830e-01,0.000000000000000000e+00
8.950000000000000178e-01,0.000000000000000000e+00,9.307892395116513784e-01,2.930640881743914461e-01,0.000000000000000000e+00,9.447905971925756319e-01,2.909181481411117765e-01,0.000000000000000000e+00
8.900000000000000133e-01,0.000000000000000000e+00,9.274034804836090995e-01,3.032350678775522224e-01,0.000000000000000000e+00,9.420109017652641414e-01,3.009615402874641910e-01,0.000000000000000000e+00
8.850000000000000089e-01,0.000000000000000000e+00,9.240090634130866398e-01,3.132334875981062638e-01,0.000000000000000000e+00,9.392158060097370864e-01,3.108291949006551369e-01,0.000000000000000000e+00
